ID,Date,ZTD,wet_delay,hydrostatic_delay,times,sigZTD,Lat,Lon,Hgt_m
7ODM,2020-01-03,2.1606,0.0502,2.1104000000000003,0,0.0024,34.1164,-117.09320000000002,762.072
ACSB,2020-01-03,2.394,0.0784,2.3156,0,0.0024,33.2743,-117.44489999999996,-12.296
ACSX,2020-01-03,2.3933000000000004,0.0777,2.3156000000000003,0,0.0023,33.2743,-117.44489999999996,-12.291
AGMT,2020-01-03,2.0144,0.0447,1.9697,0,0.0023,34.5943,-116.4294,1337.823
ALAM,2020-01-03,2.0861,0.0574,2.0287,0,0.0023,37.358,-115.1585,1090.005
ALTH,2020-01-03,2.3813000000000004,0.0617,2.3196000000000003,0,0.0024,36.8896,-120.6698,18.788
ANA1,2020-01-03,2.3723,0.0649,2.3074000000000003,0,0.0026,34.015,-119.3635,22.447
AR27,2020-01-03,2.3881,0.0849,2.3032,0,0.0024,33.3418,-117.3249,32.301
AR53,2020-01-03,2.3592,0.0769,2.2823,0,0.0024,33.3811,-117.4765,111.04
ARM2,2020-01-03,2.3941,0.0952,2.2989,0,0.0026,35.2013,-118.9106,76.813
ASBU,2020-01-03,1.9774,0.0464,1.931,0,0.002,43.8206,-121.36850000000004,1508.865
ASHL,2020-01-03,2.2197,0.0615,2.1582,0,0.002,42.1807,-122.67020000000002,608.727
AVRY,2020-01-03,2.1352,0.0557999999999999,2.0794,0,0.0028,34.4683,-117.154,888.917
AZBH,2020-01-03,2.3159,0.0468,2.2691,0,0.0028,35.1075,-114.60500000000002,151.685
AZDS,2020-01-03,2.1222,0.0389,2.0833,0,0.0023,35.5331,-114.3592,870.667
AZFM,2020-01-03,2.3241,0.0471,2.277,0,0.0025,34.8522,-114.5951,119.882
AZGV,2020-01-03,2.1221,0.0382,2.0839000000000003,0,0.0026,35.2544,-114.2543,867.565
AZKG,2020-01-03,2.088,0.0383,2.0497,0,0.0023,35.1903,-114.0525,1005.347
AZLH,2020-01-03,2.3072,0.0453,2.2619,0,0.0024,34.5083,-114.3471,172.515
AZPK,2020-01-03,2.3252,0.0458999999999999,2.2793,0,0.0027,34.1452,-114.29179999999997,100.891
AZQZ,2020-01-03,2.2912,0.0504,2.2408,0,0.0024,33.6656,-114.2273,240.242
AZRY,2020-01-03,2.0344,0.0485,1.9859,0,0.0024,33.5401,-116.6297,1265.7
AZU1,2020-01-03,2.3461,0.0723,2.2738,0,0.0031,34.126,-117.8965,144.771
AZWE,2020-01-03,2.2101,0.0477999999999999,2.1623,0,0.0024,33.8218,-113.54200000000004,541.9
AZYC,2020-01-03,2.1663,2.1663,2.1663,0,2.1663,34.8793,-114.147,541.036
AZYU,2020-01-03,2.347,0.0531,2.2939000000000003,0,0.0023,32.6583,-114.52710000000002,36.945
AZYW,2020-01-03,2.3668,0.0658,2.301,0,0.0023,32.6837,-114.6422,10.798
BALD,2020-01-03,1.6917,0.0317,1.66,0,0.0022,37.7834,-118.90139999999997,2749.44
