ID,year,path,Lat,Lon,Hgt_m
7ODM,2020,http://geodesy.unr.edu/gps_timeseries/trop/7ODM/7ODM.2020.trop.zip,34.1164,-117.09320000000002,762.072
ACSB,2020,http://geodesy.unr.edu/gps_timeseries/trop/ACSB/ACSB.2020.trop.zip,33.2743,-117.44489999999996,-12.296
ACSX,2020,http://geodesy.unr.edu/gps_timeseries/trop/ACSX/ACSX.2020.trop.zip,33.2743,-117.44489999999996,-12.291
AGMT,2020,http://geodesy.unr.edu/gps_timeseries/trop/AGMT/AGMT.2020.trop.zip,34.5943,-116.4294,1337.823
ALAM,2020,http://geodesy.unr.edu/gps_timeseries/trop/ALAM/ALAM.2020.trop.zip,37.358,-115.1585,1090.005
ALTH,2020,http://geodesy.unr.edu/gps_timeseries/trop/ALTH/ALTH.2020.trop.zip,36.8896,-120.6698,18.788
ANA1,2020,http://geodesy.unr.edu/gps_timeseries/trop/ANA1/ANA1.2020.trop.zip,34.015,-119.3635,22.447
AR27,2020,http://geodesy.unr.edu/gps_timeseries/trop/AR27/AR27.2020.trop.zip,33.3418,-117.3249,32.301
AR53,2020,http://geodesy.unr.edu/gps_timeseries/trop/AR53/AR53.2020.trop.zip,33.3811,-117.4765,111.04
ARM2,2020,http://geodesy.unr.edu/gps_timeseries/trop/ARM2/ARM2.2020.trop.zip,35.2013,-118.9106,76.813
ARMY,2020,http://geodesy.unr.edu/gps_timeseries/trop/ARMY/ARMY.2020.trop.zip,38.4977,-118.4382,1822.02
ARTE,2020,http://geodesy.unr.edu/gps_timeseries/trop/ARTE/ARTE.2020.trop.zip,38.9999,-119.40890000000002,1638.3
ASBU,2020,http://geodesy.unr.edu/gps_timeseries/trop/ASBU/ASBU.2020.trop.zip,43.8206,-121.36850000000004,1508.865
ASHL,2020,http://geodesy.unr.edu/gps_timeseries/trop/ASHL/ASHL.2020.trop.zip,42.1807,-122.67020000000002,608.727
ASHM,2020,http://geodesy.unr.edu/gps_timeseries/trop/ASHM/ASHM.2020.trop.zip,36.3459,-116.13940000000002,885.738
AVRY,2020,http://geodesy.unr.edu/gps_timeseries/trop/AVRY/AVRY.2020.trop.zip,34.4683,-117.154,888.917
AZBH,2020,http://geodesy.unr.edu/gps_timeseries/trop/AZBH/AZBH.2020.trop.zip,35.1075,-114.60500000000002,151.685
AZDS,2020,http://geodesy.unr.edu/gps_timeseries/trop/AZDS/AZDS.2020.trop.zip,35.5331,-114.3592,870.667
AZFM,2020,http://geodesy.unr.edu/gps_timeseries/trop/AZFM/AZFM.2020.trop.zip,34.8522,-114.5951,119.882
AZGV,2020,http://geodesy.unr.edu/gps_timeseries/trop/AZGV/AZGV.2020.trop.zip,35.2544,-114.2543,867.565
AZKG,2020,http://geodesy.unr.edu/gps_timeseries/trop/AZKG/AZKG.2020.trop.zip,35.1903,-114.0525,1005.347
AZLH,2020,http://geodesy.unr.edu/gps_timeseries/trop/AZLH/AZLH.2020.trop.zip,34.5083,-114.3471,172.515
AZPK,2020,http://geodesy.unr.edu/gps_timeseries/trop/AZPK/AZPK.2020.trop.zip,34.1452,-114.29179999999997,100.891
AZQZ,2020,http://geodesy.unr.edu/gps_timeseries/trop/AZQZ/AZQZ.2020.trop.zip,33.6656,-114.2273,240.242
AZRY,2020,http://geodesy.unr.edu/gps_timeseries/trop/AZRY/AZRY.2020.trop.zip,33.5401,-116.6297,1265.7
AZU1,2020,http://geodesy.unr.edu/gps_timeseries/trop/AZU1/AZU1.2020.trop.zip,34.126,-117.8965,144.771
AZWE,2020,http://geodesy.unr.edu/gps_timeseries/trop/AZWE/AZWE.2020.trop.zip,33.8218,-113.54200000000004,541.9
AZYC,2020,http://geodesy.unr.edu/gps_timeseries/trop/AZYC/AZYC.2020.trop.zip,34.8793,-114.147,541.036
AZYU,2020,http://geodesy.unr.edu/gps_timeseries/trop/AZYU/AZYU.2020.trop.zip,32.6583,-114.52710000000002,36.945
AZYW,2020,http://geodesy.unr.edu/gps_timeseries/trop/AZYW/AZYW.2020.trop.zip,32.6837,-114.6422,10.798
BALD,2020,http://geodesy.unr.edu/gps_timeseries/trop/BALD/BALD.2020.trop.zip,37.7834,-118.90139999999997,2749.44
BAMO,2020,http://geodesy.unr.edu/gps_timeseries/trop/BAMO/BAMO.2020.trop.zip,40.4128,-117.20460000000004,1792.47
