ID,Date,ZTD,wet_delay,hydrostatic_delay,times,sigZTD
ALTH,2016-01-01,2.3638000000000003,0.0454,2.3184,0,0.0023
ALTH,2016-01-25,2.4044000000000003,0.0824,2.322,0,0.0023
ALTH,2016-02-18,2.3867,0.1018,2.2848999999999995,0,0.0026000000000000003
ALTH,2016-03-13,2.4288000000000003,0.1097,2.3191000000000006,0,0.0025
ALTH,2016-04-06,2.3216,2.3216,2.3216,0,2.3216
ALTH,2016-04-30,2.3922,0.0872,2.305,0,0.0025
ALTH,2016-05-24,2.4113,0.1107,2.3006,0,0.0026000000000000003
ALTH,2016-06-17,2.4194,0.1053,2.3141,0,0.0027
ALTH,2016-07-11,2.364,0.0536,2.3104,0,0.0026000000000000003
ALTH,2016-08-04,2.3488,0.04,2.3088,0,0.0022
ALTH,2016-08-28,2.4153000000000002,0.1046,2.3107,0,0.0024
ALTH,2016-09-21,2.4334000000000002,0.1277,2.3057000000000003,0,0.0025
ALTH,2016-10-15,2.5297,0.2214,2.3082999999999996,0,0.0021000000000000003
ALTH,2016-11-08,,,,0,
ALTH,2016-12-02,2.3724000000000003,0.0584,2.314,0,0.0024
ALTH,2016-12-26,2.378,0.0664,2.3116,0,0.0024
