ID,Date,ZTD,wet_delay,hydrostatic_delay,times,sigZTD
CACT,2016-01-01,2.2106,0.0324,2.1782,0,0.0026000000000000003
CACT,2016-01-25,2.2207,0.047200000000000006,2.1735,0,0.0022
CACT,2016-02-18,2.2603000000000004,0.1017,2.1586000000000003,0,0.0031000000000000003
CACT,2016-04-30,2.2535,0.0921,2.1614,0,0.0033
CACT,2016-05-24,2.2276,0.0699,2.1576999999999997,0,0.0026000000000000003
CACT,2016-06-17,2.247,0.0778,2.1692,0,0.003
CACT,2016-07-11,2.2296,0.0684,2.1612,0,0.0028
CACT,2016-08-04,,,,0,
CACT,2016-08-28,2.3214,0.15259999999999999,2.1688,0,0.0026000000000000003
CACT,2016-10-15,2.23,0.0613,2.1687,0,0.0023
CACT,2016-11-08,2.277,0.0958,2.1812,0,0.0025
CACT,2016-12-02,2.2212,0.0555,2.1656999999999997,0,0.0028
CACT,2016-12-26,2.2291,0.0531,2.176,0,0.0028
