ID,Date,ZTD,wet_delay,hydrostatic_delay,times,sigZTD
CAGD,2016-02-18,2.3959,0.16119999999999998,2.2347,0,0.0027
CAGD,2016-03-13,2.3383000000000003,0.0859,2.2524,0,0.0024
CAGD,2016-04-06,2.3008,0.0464,2.2544,0,0.0024
CAGD,2016-04-30,2.354,0.1156,2.2384,0,0.0027
CAGD,2016-05-24,2.3392,0.1048,2.2343999999999995,0,0.0031000000000000003
CAGD,2016-06-17,2.3484000000000003,0.0993,2.2491,0,0.0026000000000000003
CAGD,2016-07-11,2.3458,0.1027,2.2431000000000005,0,0.0027
CAGD,2016-08-04,2.4153000000000002,0.1672,2.2481000000000004,0,0.0024
CAGD,2016-08-28,2.3857,0.1384,2.2472999999999996,0,0.0022
CAGD,2016-09-21,2.4947,0.2471,2.2476,0,0.003
CAGD,2016-10-15,2.3312,0.0844,2.2468,0,0.0022
CAGD,2016-11-08,2.3644000000000003,0.1072,2.2572000000000005,0,0.0018000000000000002
CAGD,2016-12-02,2.238,2.238,2.238,0,2.238
CAGD,2016-12-26,2.317,0.07440000000000001,2.2426,0,0.0027
