ID,Date,ZTD,wet_delay,hydrostatic_delay,times,sigZTD
CAND,2016-01-01,2.1929000000000003,0.0289,2.164,0,0.0023
CAND,2016-01-25,2.2449000000000003,0.0776,2.1673000000000004,0,0.0022
CAND,2016-02-18,2.2596,0.1251,2.1345,0,0.0025
CAND,2016-03-13,2.2586,0.09190000000000001,2.1667,0,0.0025
CAND,2016-04-06,2.1949,0.035500000000000004,2.1594,0,0.0024
CAND,2016-04-30,2.2309,0.0831,2.1478,0,0.0028
CAND,2016-05-24,2.2361,0.0917,2.1444,0,0.0027
CAND,2016-06-17,2.2516,0.0952,2.1564,0,0.0028
CAND,2016-07-11,2.2164,0.0676,2.1488,0,0.0026000000000000003
CAND,2016-08-04,2.232,0.0858,2.1462,0,0.0023
CAND,2016-08-28,2.2609000000000004,0.1115,2.1494,0,0.0023
CAND,2016-09-21,2.2969,0.1525,2.1444,0,0.0026000000000000003
CAND,2016-10-15,2.3065,0.1554,2.1511,0,0.0025
CAND,2016-11-08,2.2816,0.1213,2.1603,0,0.0019
CAND,2016-12-02,2.2136,0.0548,2.1588,0,0.0024
CAND,2016-12-26,2.2223,0.0634,2.1589,0,0.0024
