ID,Date,ZTD,wet_delay,hydrostatic_delay,times,sigZTD
CAWV,2016-01-01,2.281,0.028300000000000002,2.2527,0,0.0029
CAWV,2016-01-25,2.3241,0.0725,2.2516,0,0.0029
CAWV,2016-02-18,2.4155,0.1817,2.2338,0,0.003
CAWV,2016-03-13,2.3341,0.0766,2.2575,0,0.0027
CAWV,2016-04-06,2.3011,0.049600000000000005,2.2515,0,0.0028
CAWV,2016-04-30,2.3536,0.11220000000000001,2.2414,0,0.0026000000000000003
CAWV,2016-05-24,2.3242,0.0862,2.238,0,0.0033
CAWV,2016-06-17,2.3550999999999997,0.1055,2.2496,0,0.003
CAWV,2016-07-11,2.3272,0.0856,2.2416,0,0.0034
CAWV,2016-08-04,2.391,0.1456,2.2454,0,0.0027
CAWV,2016-08-28,2.3639,0.11800000000000001,2.2459000000000002,0,0.0028
CAWV,2016-09-21,2.464,0.2206,2.2434000000000003,0,0.0029
CAWV,2016-10-15,2.3182,0.07200000000000001,2.2462,0,0.0026000000000000003
CAWV,2016-11-08,2.3676999999999997,0.1133,2.2543999999999995,0,0.0027
CAWV,2016-12-02,,,,0,
CAWV,2016-12-26,2.3145000000000002,0.06709999999999999,2.2474000000000003,0,0.0031000000000000003
