ID,Date,ZTD,wet_delay,hydrostatic_delay,times,sigZTD
CME6,2016-01-01,2.2552,0.012199999999999999,2.243,0,0.0025
CME6,2016-01-25,2.3414,0.106,2.2354000000000003,0,0.0028
CME6,2016-02-18,2.1855,2.1855,2.1855,0,2.1855
CME6,2016-03-13,2.3175,0.0943,2.2232,0,0.0024
CME6,2016-04-06,2.3374,0.089,2.2484,0,0.0028
CME6,2016-04-30,2.3022,0.0653,2.2369,0,0.0025
CME6,2016-05-24,2.3509,0.1277,2.2232000000000003,0,0.0027
CME6,2016-06-17,2.3204000000000002,0.0873,2.2331,0,0.0025
CME6,2016-07-11,2.241,2.241,2.241,0,2.241
CME6,2016-08-04,2.267,0.038700000000000005,2.2283000000000004,0,0.0022
CME6,2016-08-28,2.3298,0.10200000000000001,2.2278000000000002,0,0.0027
CME6,2016-09-21,2.309,0.078,2.231,0,0.0024
CME6,2016-10-15,2.3647,0.1492,2.2155,0,0.0024
CME6,2016-11-08,2.4018,0.1668,2.235,0,0.0026000000000000003
CME6,2016-12-26,2.2875,0.0541,2.2334,0,0.0028
