ID,Date,ZTD,wet_delay,hydrostatic_delay,times,sigZTD
DUBP,2016-01-01,2.3022,0.0348,2.2674,0,0.0024
DUBP,2016-01-25,,,,0,
DUBP,2016-02-18,,,,0,
DUBP,2016-03-13,2.4001,0.13590000000000002,2.2641999999999998,0,0.0024
DUBP,2016-04-30,2.2554,2.2554,2.2554,0,2.2554
DUBP,2016-05-24,2.3547,0.1047,2.25,0,0.0027
DUBP,2016-06-17,2.3839,0.1217,2.2622000000000004,0,0.003
DUBP,2016-07-11,2.3062,0.0453,2.2608999999999995,0,0.0027
DUBP,2016-08-04,2.2922,0.0364,2.2558,0,0.0022
DUBP,2016-08-28,2.3510999999999997,0.09190000000000001,2.2592,0,0.0025
DUBP,2016-09-21,2.3391,0.0858,2.2533,0,0.0034
DUBP,2016-10-15,2.4513000000000003,0.19619999999999999,2.2551000000000005,0,0.0031000000000000003
DUBP,2016-11-08,2.4171,0.1458,2.2712999999999997,0,0.0024
DUBP,2016-12-02,2.3059000000000003,0.0432,2.2627,0,0.0023
DUBP,2016-12-26,2.3285,0.0691,2.2594000000000003,0,0.0025
