ID,Date,ZTD,wet_delay,hydrostatic_delay,times,sigZTD
ECFS,2016-01-01,2.1351,0.0299,2.1052,0,0.0024
ECFS,2016-01-25,2.1539,0.049100000000000005,2.1048,0,0.002
ECFS,2016-02-18,2.2078,0.1143,2.0935,0,0.0028
ECFS,2016-03-13,2.1761,0.066,2.1101,0,0.0024
ECFS,2016-04-06,2.1605,0.05,2.1105,0,0.0023
ECFS,2016-04-30,2.1725,0.0757,2.0968000000000004,0,0.0024
ECFS,2016-05-24,2.1772,0.0838,2.0933999999999995,0,0.0024
ECFS,2016-06-17,2.1954000000000002,0.0896,2.1058000000000003,0,0.0026000000000000003
ECFS,2016-07-11,2.1424000000000003,0.0419,2.1005000000000003,0,0.0027
ECFS,2016-08-04,2.2382,0.1335,2.1047,0,0.0025
ECFS,2016-08-28,2.2404,0.1361,2.1043000000000003,0,0.0022
ECFS,2016-09-21,2.3248,0.22030000000000002,2.1045000000000003,0,0.0026000000000000003
ECFS,2016-10-15,2.1755999999999998,0.0716,2.104,0,0.0022
ECFS,2016-11-08,2.2083000000000004,0.09540000000000001,2.1129000000000002,0,0.0019
ECFS,2016-12-02,2.1674,0.07150000000000001,2.0959000000000003,0,0.0026000000000000003
ECFS,2016-12-26,2.1601,0.0582,2.1019,0,0.0027
