ID,Date,ZTD,wet_delay,hydrostatic_delay,times,sigZTD
FPPB,2016-01-01,2.3586,0.042100000000000005,2.3165,0,0.0023
FPPB,2016-01-25,2.3984,0.0781,2.3203,0,0.0021000000000000003
FPPB,2016-02-18,2.3807,0.09640000000000001,2.2842999999999996,0,0.0025
FPPB,2016-03-13,2.4208000000000003,0.1039,2.3169,0,0.0024
FPPB,2016-04-06,2.3648000000000002,0.039700000000000006,2.3251000000000004,0,0.0026000000000000003
FPPB,2016-04-30,2.4002,0.0952,2.305,0,0.0024
FPPB,2016-05-24,2.3946,0.0941,2.3005,0,0.0023
FPPB,2016-06-17,2.3941,0.0792,2.3149,0,0.0026000000000000003
FPPB,2016-07-11,2.3461,0.032799999999999996,2.3133,0,0.0027
FPPB,2016-08-04,2.3783000000000003,0.0648,2.3135,0,0.0022
FPPB,2016-08-28,2.4031,0.0892,2.3139000000000003,0,0.0023
FPPB,2016-09-21,2.4224,0.11290000000000001,2.3095,0,0.0025
FPPB,2016-10-15,2.5289,0.2192,2.3097000000000003,0,0.0021000000000000003
FPPB,2016-11-08,2.4626,0.1381,2.3245,0,0.0019
FPPB,2016-12-02,2.3758000000000004,0.063,2.3128,0,0.0023
FPPB,2016-12-26,2.3654,0.0559,2.3095,0,0.0024
