ID,Date,ZTD,wet_delay,hydrostatic_delay,times,sigZTD
FVPK,2016-01-01,2.3599,0.0395,2.3204000000000002,0,0.0025
FVPK,2016-01-25,2.404,0.084,2.32,0,0.0023
FVPK,2016-02-18,2.4792,0.1734,2.3057999999999996,0,0.0026000000000000003
FVPK,2016-03-13,2.4047,0.07840000000000001,2.3263,0,0.0023
FVPK,2016-04-06,2.3834,0.0596,2.3238000000000003,0,0.0025
FVPK,2016-04-30,2.4289,0.1178,2.3111,0,0.0026000000000000003
FVPK,2016-05-24,2.4072,0.0998,2.3074,0,0.0027
FVPK,2016-06-17,2.4294000000000002,0.1093,2.3201,0,0.0029
FVPK,2016-07-11,2.3827,0.069,2.3137,0,0.0027
FVPK,2016-08-04,2.4648000000000003,0.147,2.3178,0,0.0024
FVPK,2016-08-28,2.4760999999999997,0.1584,2.3177,0,0.0023
FVPK,2016-09-21,2.5863,0.26980000000000004,2.3165,0,0.0025
FVPK,2016-10-15,2.3965,0.07890000000000001,2.3176,0,0.0024
FVPK,2016-11-08,,,,0,
FVPK,2016-12-02,2.4023000000000003,0.0926,2.3097000000000003,0,0.0026000000000000003
FVPK,2016-12-26,2.3847,0.06820000000000001,2.3165,0,0.0028
