ID,Date,ZTD,wet_delay,hydrostatic_delay,times,sigZTD
GMAG,2016-01-01,2.1253,0.0361,2.0892000000000004,0,0.0027
GMAG,2016-01-25,2.1321,0.046200000000000005,2.0859,0,0.0021000000000000003
GMAG,2016-02-18,2.1595,0.08700000000000001,2.0725000000000002,0,0.0027
GMAG,2016-03-13,2.1453,0.0569,2.0884,0,0.0024
GMAG,2016-04-06,2.128,0.0357,2.0923000000000003,0,0.0023
GMAG,2016-04-30,2.1507,0.0765,2.0742,0,0.0026000000000000003
GMAG,2016-05-24,2.1273000000000004,0.0565,2.0708,0,0.0028
GMAG,2016-06-17,2.1591,0.0748,2.0843,0,0.003
GMAG,2016-07-11,2.1311999999999998,0.0541,2.0771,0,0.0028
GMAG,2016-08-04,2.2641,0.1804,2.0837,0,0.0028
GMAG,2016-08-28,2.2068000000000003,0.1225,2.0843000000000003,0,0.0023
GMAG,2016-09-21,2.318,0.23,2.088,0,0.0025
GMAG,2016-10-15,2.1401999999999997,0.0572,2.083,0,0.0022
GMAG,2016-11-08,2.1845,0.0885,2.096,0,0.002
GMAG,2016-12-02,2.1221,0.0441,2.078,0,0.0027
GMAG,2016-12-26,2.1344000000000003,0.048799999999999996,2.0856,0,0.0027
