ID,Date,ZTD,wet_delay,hydrostatic_delay,times,sigZTD
JRSC,2016-01-01,2.3196,0.0404,2.2792,0,0.0024
JRSC,2016-01-25,2.3639,0.08209999999999999,2.2818,0,0.0022
JRSC,2016-02-18,2.3628,0.1281,2.2347,0,0.0027
JRSC,2016-03-13,2.4221,0.1464,2.2757,0,0.0024
JRSC,2016-04-06,2.3298,0.052000000000000005,2.2778,0,0.0025
JRSC,2016-04-30,2.3223000000000003,0.055299999999999995,2.267,0,0.0025
JRSC,2016-05-24,2.3721,0.11090000000000001,2.2611999999999997,0,0.0027
JRSC,2016-06-17,2.3941999999999997,0.1218,2.2723999999999998,0,0.0027
JRSC,2016-07-11,2.3198000000000003,0.0497,2.2701000000000002,0,0.0027
JRSC,2016-08-04,2.329,0.0653,2.2637,0,0.0023
JRSC,2016-08-28,2.3504,0.0823,2.2681,0,0.0025
JRSC,2016-09-21,2.3811,0.1194,2.2617,0,0.0024
JRSC,2016-10-15,2.4409,0.1764,2.2645,0,0.0029
JRSC,2016-11-08,2.4306,0.1507,2.2799,0,0.0022
JRSC,2016-12-02,2.326,0.0518,2.2742,0,0.0023
JRSC,2016-12-26,2.3539000000000003,0.0833,2.2706,0,0.0025
