ID,Date,ZTD,wet_delay,hydrostatic_delay,times,sigZTD
KING,2016-01-01,2.0366,0.0103,2.0263,0,0.0029
KING,2016-01-25,2.0484,0.0282,2.0202,0,0.0028
KING,2016-02-18,2.0445,0.0356,2.0089,0,0.0026000000000000003
KING,2016-03-13,2.0609,0.0394,2.0215,0,0.0027
KING,2016-04-06,2.0492,0.02,2.0292,0,0.0026000000000000003
KING,2016-04-30,2.0878,0.08,2.0078,0,0.0031000000000000003
KING,2016-05-24,2.0492,0.0432,2.006,0,0.0034
KING,2016-06-17,2.0781,0.056799999999999996,2.0213,0,0.0033
KING,2016-07-11,2.074,0.0618,2.0122,0,0.003
KING,2016-08-04,2.2378,0.2165,2.0213,0,0.0035
KING,2016-08-28,2.1509,0.1276,2.0233000000000003,0,0.0029
KING,2016-09-21,2.2272,0.1993,2.0279,0,0.0033
KING,2016-10-15,2.0629,0.0441,2.0188,0,0.0028
KING,2016-11-08,2.1043000000000003,0.0697,2.0346,0,0.0027
KING,2016-12-02,2.0479000000000003,0.0358,2.0121,0,0.0031000000000000003
KING,2016-12-26,2.0225999999999997,2.0225999999999997,2.0225999999999997,0,2.0225999999999997
