ID,Date,ZTD,wet_delay,hydrostatic_delay,times,sigZTD
LAND,2016-01-01,2.1918,0.028,2.1638,0,0.0023
LAND,2016-01-25,2.2457,0.07859999999999999,2.1671,0,0.0022
LAND,2016-02-18,2.2555,0.1212,2.1343,0,0.0025
LAND,2016-03-13,2.2556,0.089,2.1666,0,0.0024
LAND,2016-04-06,2.1961999999999997,0.037,2.1592,0,0.0024
LAND,2016-04-30,2.2237,0.0757,2.148,0,0.0026000000000000003
LAND,2016-05-24,2.2378,0.0933,2.1445,0,0.0025
LAND,2016-06-17,2.248,0.0916,2.1564,0,0.0028
LAND,2016-07-11,2.2164,0.0676,2.1488,0,0.0026000000000000003
LAND,2016-08-04,2.2220999999999997,0.07590000000000001,2.1462,0,0.0023
LAND,2016-08-28,2.2596,0.1102,2.1494,0,0.0023
LAND,2016-09-21,2.2909,0.1465,2.1444,0,0.0024
LAND,2016-10-15,2.307,0.1561,2.1509,0,0.0024
LAND,2016-11-08,2.2778,0.1176,2.1602,0,0.0024
LAND,2016-12-02,2.2169000000000003,0.0583,2.1586,0,0.0024
LAND,2016-12-26,2.2273,0.0685,2.1588000000000003,0,0.0029
