ID,Date,ZTD,wet_delay,hydrostatic_delay,times,sigZTD
LEEP,2016-01-01,2.2248,0.0361,2.1887000000000003,0,0.0024
LEEP,2016-02-18,2.3439,0.1708,2.1731,0,0.0027
LEEP,2016-03-13,2.269,0.07579999999999999,2.1932,0,0.0025
LEEP,2016-04-06,2.2335000000000003,0.0422,2.1913,0,0.0027
LEEP,2016-04-30,2.2826,0.1039,2.1787,0,0.0025
LEEP,2016-05-24,2.2622,0.0871,2.1751,0,0.0025
LEEP,2016-06-17,2.2784,0.0906,2.1878,0,0.0029
LEEP,2016-07-11,2.2705,0.0895,2.181,0,0.0027
LEEP,2016-08-04,2.2952,0.11,2.1852,0,0.0028
LEEP,2016-08-28,2.2997,0.1146,2.1851,0,0.0024
LEEP,2016-09-21,2.4057,0.22169999999999998,2.184,0,0.0029
LEEP,2016-10-15,2.2544,0.0694,2.185,0,0.0026000000000000003
LEEP,2016-12-02,2.2336,0.0551,2.1785,0,0.0028
LEEP,2016-12-26,2.2445,0.0609,2.1835999999999998,0,0.0029
