ID,Date,ZTD,wet_delay,hydrostatic_delay,times,sigZTD
T3RP,2016-01-01,2.1418000000000004,0.016800000000000002,2.125,0,0.0024
T3RP,2016-01-25,,,,0,
T3RP,2016-02-18,2.1821,0.1026,2.0795,0,0.0025
T3RP,2016-03-13,2.233,0.11270000000000001,2.1203000000000003,0,0.0024
T3RP,2016-04-30,2.1469,0.0346,2.1123000000000003,0,0.0023
T3RP,2016-05-24,2.1986,0.0915,2.1071,0,0.0025
T3RP,2016-06-17,2.2316,0.1141,2.1175,0,0.0028
T3RP,2016-07-11,2.1435,0.0274,2.1161,0,0.0027
T3RP,2016-08-04,2.144,0.0354,2.1086,0,0.0024
T3RP,2016-08-28,2.1488,0.0357,2.1131,0,0.0025
T3RP,2016-09-21,2.1895000000000002,0.0824,2.1071,0,0.0025
T3RP,2016-10-15,2.2287,0.11850000000000001,2.1102,0,0.0022
T3RP,2016-11-08,2.2315,0.1058,2.1256999999999997,0,0.0019
T3RP,2016-12-02,2.1548000000000003,0.0347,2.1201000000000003,0,0.0022
T3RP,2016-12-26,2.1744000000000003,0.0573,2.1170999999999998,0,0.0025
