ID,Date,ZTD,wet_delay,hydrostatic_delay,times,sigZTD
YER1,2016-01-01,2.0125,0.035500000000000004,1.977,0,0.0026000000000000003
YER1,2016-01-25,2.0247,0.0502,1.9745000000000001,0,0.002
YER1,2016-02-18,2.0064,0.06,1.9464000000000001,0,0.0025
YER1,2016-04-06,2.0305,0.0362,1.9943,0,0.0025
YER1,2016-04-30,1.9635,1.9635,1.9635,0,1.9635
YER1,2016-05-24,2.0299,0.0688,1.9611000000000003,0,0.0025
YER1,2016-07-11,1.9996,0.023,1.9766,0,0.004
YER1,2016-08-04,2.0318,0.04870000000000001,1.9830999999999999,0,0.0022
YER1,2016-08-28,,,,0,
YER1,2016-09-21,1.978,1.978,1.978,0,1.978
YER1,2016-11-08,,,,0,
YER1,2016-12-02,2.0145,0.0417,1.9727999999999999,0,0.0023
YER1,2016-12-26,1.9885,0.0234,1.9650999999999998,0,0.003
