ID,year,path,Lat,Lon,Hgt_m
34A1,2016,http://geodesy.unr.edu/gps_timeseries/trop/34A1/34A1.2016.trop.zip,41.8387,-119.654,1907.6770000000001
34A2,2016,http://geodesy.unr.edu/gps_timeseries/trop/34A2/34A2.2016.trop.zip,41.8531,-119.60739999999998,1862.779
34A3,2016,http://geodesy.unr.edu/gps_timeseries/trop/34A3/34A3.2016.trop.zip,41.8507,-119.57709999999996,1831.9470000000001
34A4,2016,http://geodesy.unr.edu/gps_timeseries/trop/34A4/34A4.2016.trop.zip,41.8666,-119.4948,1708.2160000000001
34NO,2016,http://geodesy.unr.edu/gps_timeseries/trop/34NO/34NO.2016.trop.zip,41.9291,-119.7086,1768.973
34SO,2016,http://geodesy.unr.edu/gps_timeseries/trop/34SO/34SO.2016.trop.zip,41.8059,-119.7068,1705.89
7ODM,2016,http://geodesy.unr.edu/gps_timeseries/trop/7ODM/7ODM.2016.trop.zip,34.1164,-117.09320000000002,762.072
ACSB,2016,http://geodesy.unr.edu/gps_timeseries/trop/ACSB/ACSB.2016.trop.zip,33.2743,-117.44489999999996,-12.296
ACSX,2016,http://geodesy.unr.edu/gps_timeseries/trop/ACSX/ACSX.2016.trop.zip,33.2743,-117.44489999999996,-12.290999999999999
AERO,2016,http://geodesy.unr.edu/gps_timeseries/trop/AERO/AERO.2016.trop.zip,32.8075,-117.12440000000004,92.691
AGMT,2016,http://geodesy.unr.edu/gps_timeseries/trop/AGMT/AGMT.2016.trop.zip,34.5943,-116.4294,1337.8229999999999
AIAH,2016,http://geodesy.unr.edu/gps_timeseries/trop/AIAH/AIAH.2016.trop.zip,33.8492,-117.8625,38.22
ALPP,2016,http://geodesy.unr.edu/gps_timeseries/trop/ALPP/ALPP.2016.trop.zip,34.8245,-118.6948,918.073
ALTH,2016,http://geodesy.unr.edu/gps_timeseries/trop/ALTH/ALTH.2016.trop.zip,36.8896,-120.6698,18.788
ANA1,2016,http://geodesy.unr.edu/gps_timeseries/trop/ANA1/ANA1.2016.trop.zip,34.015,-119.3635,22.447
ANTV,2016,http://geodesy.unr.edu/gps_timeseries/trop/ANTV/ANTV.2016.trop.zip,39.6425,-120.2813,1681.0610000000001
AQUA,2016,http://geodesy.unr.edu/gps_timeseries/trop/AQUA/AQUA.2016.trop.zip,32.6794,-114.48540000000004,35.126999999999995
AR27,2016,http://geodesy.unr.edu/gps_timeseries/trop/AR27/AR27.2016.trop.zip,33.3418,-117.3249,32.301
AR53,2016,http://geodesy.unr.edu/gps_timeseries/trop/AR53/AR53.2016.trop.zip,33.3811,-117.4765,111.04
ARM1,2016,http://geodesy.unr.edu/gps_timeseries/trop/ARM1/ARM1.2016.trop.zip,35.2013,-118.91039999999998,76.817
ARM2,2016,http://geodesy.unr.edu/gps_timeseries/trop/ARM2/ARM2.2016.trop.zip,35.2013,-118.9106,76.813
ARTE,2016,http://geodesy.unr.edu/gps_timeseries/trop/ARTE/ARTE.2016.trop.zip,38.9999,-119.40890000000002,1638.3
ASHM,2016,http://geodesy.unr.edu/gps_timeseries/trop/ASHM/ASHM.2016.trop.zip,36.3459,-116.13940000000002,885.738
AST1,2016,http://geodesy.unr.edu/gps_timeseries/trop/AST1/AST1.2016.trop.zip,39.3903,-117.3084,1760.07
AST2,2016,http://geodesy.unr.edu/gps_timeseries/trop/AST2/AST2.2016.trop.zip,39.3904,-117.3086,1760.3
AVRY,2016,http://geodesy.unr.edu/gps_timeseries/trop/AVRY/AVRY.2016.trop.zip,34.4683,-117.154,888.9169999999999
AZBH,2016,http://geodesy.unr.edu/gps_timeseries/trop/AZBH/AZBH.2016.trop.zip,35.1075,-114.60500000000002,151.685
AZDS,2016,http://geodesy.unr.edu/gps_timeseries/trop/AZDS/AZDS.2016.trop.zip,35.5331,-114.3592,870.6669999999999
AZFM,2016,http://geodesy.unr.edu/gps_timeseries/trop/AZFM/AZFM.2016.trop.zip,34.8522,-114.5951,119.882
AZGV,2016,http://geodesy.unr.edu/gps_timeseries/trop/AZGV/AZGV.2016.trop.zip,35.2544,-114.2543,867.565
AZLH,2016,http://geodesy.unr.edu/gps_timeseries/trop/AZLH/AZLH.2016.trop.zip,34.5083,-114.3471,172.515
AZPK,2016,http://geodesy.unr.edu/gps_timeseries/trop/AZPK/AZPK.2016.trop.zip,34.1452,-114.29179999999997,100.891
AZRY,2016,http://geodesy.unr.edu/gps_timeseries/trop/AZRY/AZRY.2016.trop.zip,33.5401,-116.6297,1265.7
AZU1,2016,http://geodesy.unr.edu/gps_timeseries/trop/AZU1/AZU1.2016.trop.zip,34.126,-117.8965,144.77100000000002
AZYC,2016,http://geodesy.unr.edu/gps_timeseries/trop/AZYC/AZYC.2016.trop.zip,34.8793,-114.147,541.036
AZYU,2016,http://geodesy.unr.edu/gps_timeseries/trop/AZYU/AZYU.2016.trop.zip,32.6583,-114.52710000000002,36.945
AZYW,2016,http://geodesy.unr.edu/gps_timeseries/trop/AZYW/AZYW.2016.trop.zip,32.6837,-114.6422,10.798
BAK1,2016,http://geodesy.unr.edu/gps_timeseries/trop/BAK1/BAK1.2016.trop.zip,35.3519,-119.0208,93.492
BALD,2016,http://geodesy.unr.edu/gps_timeseries/trop/BALD/BALD.2016.trop.zip,37.7834,-118.90139999999997,2749.44
BAMO,2016,http://geodesy.unr.edu/gps_timeseries/trop/BAMO/BAMO.2016.trop.zip,40.4128,-117.20460000000004,1792.47
BAR1,2016,http://geodesy.unr.edu/gps_timeseries/trop/BAR1/BAR1.2016.trop.zip,33.4805,-119.0297,14.81
BBDM,2016,http://geodesy.unr.edu/gps_timeseries/trop/BBDM/BBDM.2016.trop.zip,34.5822,-119.98149999999998,204.875
BBRY,2016,http://geodesy.unr.edu/gps_timeseries/trop/BBRY/BBRY.2016.trop.zip,34.2643,-116.88419999999996,2051.072
