ID,Lat,Lon,Hgt_m,wetDelay,hydroDelay,totalDelay,Datetime
34A1,41.8387,-119.654,1907.6770000000001,0.06600769086417152,1.8250943636347297,1.8911020544989012,2019-08-17
34A2,41.8531,-119.60739999999998,1862.779,0.06805734135093207,1.834327313491129,1.902384654842061,2019-08-17
34A3,41.8507,-119.57709999999996,1831.9470000000001,0.06912600306570255,1.8406810954765576,1.90980709854226,2019-08-17
34A4,41.8666,-119.4948,1708.2160000000001,0.07329647905324567,1.8662209484853929,1.9395174275386389,2019-08-17
34NO,41.9291,-119.7086,1768.973,0.07097176534813424,1.8538784921795024,1.9248502575276365,2019-08-17
34SO,41.8059,-119.7068,1705.89,0.06912664847889413,1.8672268473004667,1.936353495779361,2019-08-17
5PTS,36.4292,-120.265,56.523,0.06494095482841533,2.2412085645013406,2.3061495193297565,2019-08-17
7OAK,37.595,-114.7591,1713.2779999999998,0.04187530616121032,1.8627506180643956,1.9046259242256056,2019-08-17
7ODM,34.1164,-117.09320000000002,762.072,0.044440617768932385,2.0788361099921517,2.1232767277610844,2019-08-17
ACSB,33.2743,-117.44489999999996,-12.296,0.027543389721959445,2.2660552537820524,2.293598643504012,2019-08-17
ACSX,33.2743,-117.44489999999996,-12.290999999999999,0.027543335321469603,2.266054086131878,2.293597421453348,2019-08-17
AERO,32.8075,-117.12440000000004,92.691,0.035065470646084416,2.241511834107728,2.276577304753812,2019-08-17
AGMT,34.5943,-116.4294,1337.8229999999999,0.03240875967198993,1.947667190907855,1.9800759505798449,2019-08-17
AIAH,33.8492,-117.8625,38.22,0.044370206358396495,2.2552436300388443,2.2996138363972403,2019-08-17
AISD,33.0239,-117.0858,141.58700000000005,0.034119924150147835,2.229840844942975,2.263960769093123,2019-08-17
ALAM,37.358000000000004,-115.1585,1090.005,0.045460771652486666,1.9938447104354284,2.039305482087915,2019-08-17
ALPP,34.8245,-118.6948,918.073,0.06422786111335775,2.043423436481357,2.1076512975947157,2019-08-17
ALTH,36.8896,-120.6698,18.788,0.06666244327807938,2.2513743133523625,2.318036756630442,2019-08-17
